Entry	Gene Names	Gene Ontology IDs	Gene Ontology (GO)
A0A098E1Q1	FG05522.1 PIF1 FGRAMPH1_01T18121	GO:0000723; GO:0003697; GO:0005524; GO:0005730; GO:0005739; GO:0006281; GO:0006310; GO:0016787; GO:0043139	mitochondrion [GO:0005739]; nucleolus [GO:0005730]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; single-stranded DNA binding [GO:0003697]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; telomere maintenance [GO:0000723]
A0A098E2A4	FG05187.1 FGRAMPH1_01T17319	GO:0000287; GO:0004019; GO:0005525; GO:0005737; GO:0016208; GO:0019002; GO:0044208; GO:0046040; GO:0071276	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; AMP binding [GO:0016208]; GMP binding [GO:0019002]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]; cellular response to cadmium ion [GO:0071276]; IMP metabolic process [GO:0046040]
A0A0E0RQ52	CHS4 FG01272 FGRAMPH1_01T03149	GO:0000131; GO:0004100; GO:0005628; GO:0005886; GO:0005935; GO:0006031; GO:0030428; GO:0030476; GO:0045009; GO:0097271	cell septum [GO:0030428]; cellular bud neck [GO:0005935]; chitosome [GO:0045009]; incipient cellular bud site [GO:0000131]; plasma membrane [GO:0005886]; prospore membrane [GO:0005628]; chitin synthase activity [GO:0004100]; ascospore wall assembly [GO:0030476]; chitin biosynthetic process [GO:0006031]; protein localization to bud neck [GO:0097271]
A0A0E0RTV6	ZEB1 FGRAMPH1_01T05753 FGSG_02397	GO:0016491; GO:0071949; GO:0106150	FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]; zearalenone biosynthetic process [GO:0106150]
A0A0E0RTV8	FG02399.1 FGRAMPH1_01T05757	GO:0000776; GO:0000819; GO:0004674; GO:0005524; GO:0008608; GO:0032133; GO:0032465; GO:0044779; GO:0045143; GO:0051233; GO:0072479; GO:0090266; GO:1902115	chromosome passenger complex [GO:0032133]; kinetochore [GO:0000776]; spindle midzone [GO:0051233]; ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; attachment of spindle microtubules to kinetochore [GO:0008608]; homologous chromosome segregation [GO:0045143]; meiotic spindle checkpoint signaling [GO:0044779]; regulation of cytokinesis [GO:0032465]; regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090266]; regulation of organelle assembly [GO:1902115]; response to mitotic cell cycle spindle assembly checkpoint signaling [GO:0072479]; sister chromatid segregation [GO:0000819]
A0A0E0RU58	CHS2 FGRAMPH1_01T05957	GO:0004100; GO:0005886; GO:0005935; GO:0006031; GO:0030428; GO:1902404	cell septum [GO:0030428]; cellular bud neck [GO:0005935]; plasma membrane [GO:0005886]; chitin synthase activity [GO:0004100]; chitin biosynthetic process [GO:0006031]; mitotic actomyosin contractile ring contraction [GO:1902404]
A0A0E0RX65	MCU FGRAMPH1_01T08073	GO:0005262; GO:0005743; GO:0015292; GO:0036444; GO:0046872; GO:0051560; GO:1990246	mitochondrial inner membrane [GO:0005743]; uniplex complex [GO:1990246]; calcium channel activity [GO:0005262]; metal ion binding [GO:0046872]; uniporter activity [GO:0015292]; calcium import into the mitochondrion [GO:0036444]; mitochondrial calcium ion homeostasis [GO:0051560]
A0A0E0S977	CHS8 FG06550 FGRAMPH1_01T22563	GO:0004100; GO:0005886; GO:0006031; GO:0030428	cell septum [GO:0030428]; plasma membrane [GO:0005886]; chitin synthase activity [GO:0004100]; chitin biosynthetic process [GO:0006031]
A0A0E0SC50	ATG12 FGRAMPH1_01T27403	GO:0000045; GO:0000421; GO:0000422; GO:0015031; GO:0019776; GO:0034045; GO:0034274; GO:0034727; GO:0061723; GO:0097352	Atg12-Atg5-Atg16 complex [GO:0034274]; autophagosome membrane [GO:0000421]; phagophore assembly site membrane [GO:0034045]; Atg8-family ligase activity [GO:0019776]; autophagosome assembly [GO:0000045]; autophagosome maturation [GO:0097352]; autophagy of mitochondrion [GO:0000422]; glycophagy [GO:0061723]; piecemeal microautophagy of the nucleus [GO:0034727]; protein transport [GO:0015031]
A0A0E0SNE8	ERG3B FG04994 FGRAMPH1_01T16829	GO:0005506; GO:0005789; GO:0016126; GO:0050046	endoplasmic reticulum membrane [GO:0005789]; delta7-sterol 5(6)-desaturase activity [GO:0050046]; iron ion binding [GO:0005506]; sterol biosynthetic process [GO:0016126]
A0A0E0SP71	ERG7 FG05950 FGRAMPH1_01T19145	GO:0000250; GO:0005789; GO:0005811; GO:0006696; GO:0016104	endoplasmic reticulum membrane [GO:0005789]; lipid droplet [GO:0005811]; lanosterol synthase activity [GO:0000250]; ergosterol biosynthetic process [GO:0006696]; triterpenoid biosynthetic process [GO:0016104]
